"dsCode","isoCode","Multiplier","primeCode"
"AL","ALL",1,TRUE
"AD","DZD",1,TRUE
"AK","AOA",1,TRUE
"AN","ANG",1,TRUE
"AP","ARS",1,TRUE
"AR","AMD",1,TRUE
"AG","AWG",1,TRUE
"A$","AUD",1,TRUE
"AS","ATS",1,TRUE
"AM","AZN",1,TRUE
"B$","BSD",1,TRUE
"BH","BHD",1,TRUE
"TK","BDT",1,TRUE
"$B","BBD",1,TRUE
"RB","BYR",1,TRUE
"BF","BEF",1,TRUE
"BD","BMD",1,TRUE
"BP","BOB",1,TRUE
"BO","BAM",1,TRUE
"PU","BWP",1,TRUE
"C","BRL",1,TRUE
"~G","BRL",1000,FALSE
"BN","BND",1,TRUE
"BL","BGN",1,TRUE
"KR","KHR",1,TRUE
"C$","CAD",1,TRUE
"CD","KYD",1,TRUE
"CF","XAF",1,TRUE
"CE","CLP",1,TRUE
"CL","CLF",1,TRUE
"CH","CNY",1,TRUE
"CP","COP",1,TRUE
"CM","COU",1,TRUE
"CC","CRC",1,TRUE
"KA","HRK",1,TRUE
"CB","CUP",1,TRUE
"CY","CYP",1,TRUE
"CK","CZK",1,TRUE
"DK","DKK",1,TRUE
"DP","DOP",1,TRUE
"FL","NLG",1,TRUE
"ZN","NLG",1,FALSE
"E$","XCD",1,TRUE
"ECU","XEU",1,TRUE
"SU","ECS",1,TRUE
"E£","EGP",1,TRUE
"EK","EEK",1,TRUE
"E","EUR",1,TRUE
"E0","EUR",1,FALSE
"EX","EUR",1,FALSE
"EC","EUR",1,FALSE
"CU","EUR",1,FALSE
"EU","EUR",1,FALSE
"F$","FJD",1,TRUE
"M","FIM",1,TRUE
"FF","FRF",1,TRUE
"DM","DEM",1,TRUE
"CT","GHS",1,TRUE
"DR","GRD",1,TRUE
"GQ","GTQ",1,TRUE
"HL","HNL",1,TRUE
"K$","HKD",1,TRUE
"HF","HUF",1,TRUE
"IK","ISK",1,TRUE
"IR","INR",1,TRUE
"RI","IDR",1,TRUE
"RR","IRR",1,TRUE
"£E","IEP",1,TRUE
"I£","ILS",1,TRUE
"L","ITL",1,TRUE
"J$","JMD",1,TRUE
"Y","JPY",1,TRUE
"JD","JOD",1,TRUE
"KT","KZT",1,TRUE
"KS","KES",1,TRUE
"KD","KWD",1,TRUE
"KZ","KGS",1,TRUE
"LV","LVL",1,TRUE
"L£","LBP",1,TRUE
"LD","LRD",1,TRUE
"DL","LYD",1,TRUE
"LT","LTL",1,TRUE
"LF","LUF",1,TRUE
"PM","MOP",1,TRUE
"MC","MKD",1,TRUE
"MK","MWK",1,TRUE
"M$","MYR",1,TRUE
"M£","MTL",1,TRUE
"MR","MUR",1,TRUE
"MP","MXN",1,TRUE
"MU","MXV",1,TRUE
"ML","MDL",1,TRUE
"MT","MNT",1,TRUE
"MD","MAD",1,TRUE
"MM","MZN",1,TRUE
"BK","MMK",1,TRUE
"NR","NAD",1,TRUE
"ZR","ZRN",1,TRUE
"Z$","NZD",1,TRUE
"NC","NIO",1,TRUE
"NG","NGN",1,TRUE
"NK","NOK",1,TRUE
"OL","TRL",1,TRUE
"OR","OMR",1,TRUE
"PR","PKR",1,TRUE
"PB","PAB",1,TRUE
"GK","PGK",1,TRUE
"PG","PYG",1,TRUE
"PS","PEN",1,TRUE
"PP","PHP",1,TRUE
"PZ","PLN",1,TRUE
"PE","PTE",1,TRUE
"Q","QAR",1,TRUE
"RL","RON",1,TRUE
"UR","RUB",1,TRUE
"RF","RWF",1,TRUE
"SC","SVC",1,TRUE
"ST","WST",1,TRUE
"TD","STD",1,TRUE
"SR","SAR",1,TRUE
"YD","RSD",1,TRUE
"S$","SGD",1,TRUE
"KK","SKK",1,TRUE
"TO","SIT",1,TRUE
"R","ZAR",1,TRUE
"KW","KRW",1,TRUE
"EP","ESP",1,TRUE
"SD","XDR",1,TRUE
"CR","LKR",1,TRUE
"S£","SDG",1,TRUE
"SG","SRD",1,TRUE
"LL","SZL",1,TRUE
"SK","SEK",1,TRUE
"SF","CHF",1,TRUE
"Y£","SYP",1,TRUE
"TW","TWD",1,TRUE
"TJ","TJS",1,TRUE
"TS","TZS",1,TRUE
"TB","THB",1,TRUE
"T$","TTD",1,TRUE
"UD","TND",1,TRUE
"TL","TRY",1,TRUE
"TM","TMT",1,TRUE
"UG","UGX",1,TRUE
"KB","UAH",1,TRUE
"ED","AED",1,TRUE
"£","GBP",1,TRUE
"U$","USD",1,TRUE
"UP","UYU",1,TRUE
"UZ","UZS",1,TRUE
"VT","VUV",1,TRUE
"VB","VEB",1,TRUE
"VO","VEF",1,TRUE
"VD","VND",1,TRUE
"CX","XOF",1,TRUE
"YR","YER",1,TRUE
"K","ZMK",1,TRUE
"R$","ZWD",1,TRUE
"SP","GBP",0.01,FALSE
"BPN","GBP",0.01,FALSE
"UC","USD",0.01,FALSE